Wavelength,Flux,Noise
1.0028652,3.367909E-17,2.0501752E-18
1.0030085,3.1721748E-17,2.048356E-18
1.0031518,3.160485E-17,2.0162833E-18
1.0032951,3.2820737E-17,1.9904054E-18
1.0034384,2.9920496E-17,1.9692178E-18
1.0035816,3.0094174E-17,1.9524544E-18
1.0037249,3.188725E-17,1.9365394E-18
1.0038682,3.5573233E-17,1.8883545E-18
1.0040115,3.36823E-17,1.8674475E-18
1.0041548,3.4594894E-17,1.8751998E-18
1.0042981,3.8506263E-17,1.8534334E-18
1.0044414,3.5024518E-17,1.8262715E-18
1.0045847,3.2408407E-17,1.813472E-18
1.004728,3.4229687E-17,1.8079221E-18
1.0048712,3.0621816E-17,1.7987932E-18
1.0050145,3.0920197E-17,1.7659605E-18
1.0051578,3.2217146E-17,1.7668975E-18
1.0053011,3.1620676E-17,1.7416958E-18
1.0054443,2.800488E-17,1.7000786E-18
1.0055876,2.7587856E-17,1.7523923E-18
1.0057309,3.4772178E-17,1.7762618E-18
1.0058742,3.8227394E-17,1.7936735E-18
1.0060174,3.5431196E-17,1.8048061E-18
1.0061606,3.1699914E-17,1.762963E-18
1.0063039,3.1257263E-17,1.7542456E-18
1.0064472,3.2096944E-17,1.7617427E-18
1.0065904,3.6317596E-17,1.6897975E-18
1.0067337,2.831049E-17,1.6594505E-18
1.006877,2.866691E-17,1.6522375E-18
1.0070201,2.9936987E-17,1.6679647E-18
1.0071634,3.5967616E-17,1.6720241E-18
1.0073066,3.8041338E-17,1.672579E-18
1.0074499,3.6708664E-17,1.6772677E-18
1.0075932,3.522873E-17,1.6845559E-18
1.0077363,3.455299E-17,1.6647494E-18
1.0078796,3.609092E-17,1.6624091E-18
1.0080228,3.7074023E-17,1.6360189E-18
1.0081661,3.7251728E-17,1.6273166E-18
1.0083092,3.9434565E-17,1.6097977E-18
1.0084524,3.1047536E-17,1.6294451E-18
1.0085957,3.3264546E-17,1.6766261E-18
1.0087389,3.2762904E-17,1.6431931E-18
1.0088822,3.5858782E-17,1.5951763E-18
1.0090253,3.8827848E-17,1.5735641E-18
1.0091685,3.8846377E-17,1.564826E-18
1.0093118,3.8627736E-17,1.5447497E-18
1.009455,3.8106398E-17,1.5411333E-18
1.0095981,3.6835544E-17,1.5384837E-18
1.0097414,3.5981546E-17,1.5134291E-18
1.0098846,4.157846E-17,1.5071089E-18
1.0100278,4.2183167E-17,1.4650588E-18
1.0101709,4.1216504E-17,1.4033662E-18
1.0103141,4.469521E-17,1.4438236E-18
